An	Jour	Jsim	hhmm	PAR	Tair	HR	Vent	Pluie
2000	275	1	100	0	8.8	95	0.833	0
2000	275	1	200	0	9.4	96	0.278	0.2
2000	275	1	300	0	8.8	95	1.389	0
2000	275	1	400	0	8.3	96	0.833	0
2000	275	1	500	0	8	96	0.556	0
2000	275	1	600	0	8.2	96	0.556	0
2000	275	1	700	85.86	9	97	0.278	0
2000	275	1	800	355.72	11.6	97	0.556	0
2000	275	1	900	650.11	13.8	88	0.833	0
2000	275	1	1000	1005.83	16.3	70	0.833	0
2000	275	1	1100	993.56	17.7	66	2.222	0
2000	275	1	1200	932.23	18	63	3.056	0
2000	275	1	1300	1091.69	17	57	3.056	0
2000	275	1	1400	1128.49	18.3	55	3.889	0
2000	275	1	1500	932.23	17.8	56	3.889	0
2000	275	1	1600	527.45	16.3	63	4.167	0
2000	275	1	1700	208.52	14.5	71	4.167	0
2000	275	1	1800	12.27	12.5	77	3.611	0
2000	275	1	1900	0	12.3	81	3.056	0
2000	275	1	2000	0	12	83	2.5	0
2000	275	1	2100	0	11.8	83	2.778	0
2000	275	1	2200	0	12.2	82	3.056	0
2000	275	1	2300	0	11.9	84	3.611	0.2
2000	275	1	2400	0	11.8	90	3.611	1.6
2000	276	2	100	0	11.6	92	3.333	1.6
2000	276	2	200	0	11.9	93	3.611	1
2000	276	2	300	0	11.2	91	3.611	0
2000	276	2	400	0	10.8	91	3.611	0
2000	276	2	500	0	10.3	91	4.444	0
2000	276	2	600	0	10.4	91	5	0.2
2000	276	2	700	36.8	10.8	92	5	0.4
2000	276	2	800	208.52	11.4	90	5	0
2000	276	2	900	306.65	12.3	86	5.278	0.2
2000	276	2	1000	196.26	12	86	5	0.2
2000	276	2	1100	355.72	12.8	85	5	0.2
2000	276	2	1200	404.78	12.9	81	5.278	0.2
2000	276	2	1300	367.99	13	87	3.611	0.8
2000	276	2	1400	343.45	13.4	85	3.611	0.4
2000	276	2	1500	490.65	13.3	77	5	0
2000	276	2	1600	331.19	12.9	75	5.278	0
2000	276	2	1700	36.8	12.4	75	4.722	0
2000	276	2	1800	0	12.1	75	3.333	0
2000	276	2	1900	0	11.7	75	3.333	0
2000	276	2	2000	0	11	77	2.5	0
2000	276	2	2100	0	10.1	80	1.944	0
2000	276	2	2200	0	9.9	81	1.944	0
2000	276	2	2300	0	9.9	81	2.5	0
2000	276	2	2400	0	9	85	1.667	0
2000	277	3	100	0	8.1	86	0.833	0
2000	277	3	200	0	8.8	87	0.556	0
2000	277	3	300	0	9.6	86	0.556	0
2000	277	3	400	0	10	85	1.111	0
2000	277	3	500	0	10.1	85	1.111	0
2000	277	3	600	0	10.1	85	0.278	0
2000	277	3	700	36.8	10.4	86	0.278	0
2000	277	3	800	208.52	11.3	85	0.833	0
2000	277	3	900	466.11	13.1	80	1.667	0
2000	277	3	1000	821.83	14.8	71	1.667	0
2000	277	3	1100	1202.09	15.8	64	1.389	0
2000	277	3	1200	981.29	16.6	58	1.944	0
2000	277	3	1300	1091.69	17.1	58	2.778	0
2000	277	3	1400	1153.02	17.2	50	2.778	0
2000	277	3	1500	735.97	16.2	56	3.056	0
2000	277	3	1600	478.38	16.2	56	2.778	0
2000	277	3	1700	196.26	15.1	61	2.222	0
2000	277	3	1800	12.27	13.8	67	1.389	0
2000	277	3	1900	0	13.2	72	1.111	0
2000	277	3	2000	0	12.7	72	1.944	0
2000	277	3	2100	0	12.9	72	2.222	0
2000	277	3	2200	0	13.1	71	2.5	0
2000	277	3	2300	0	13.3	72	2.5	0
2000	277	3	2400	0	13.2	72	2.778	0
2000	278	4	100	0	13.5	72	3.056	0
2000	278	4	200	0	13.5	71	2.778	0
2000	278	4	300	0	13.1	75	1.944	0
2000	278	4	400	0	12.4	80	2.222	0
2000	278	4	500	0	11.8	89	1.944	0
2000	278	4	600	0	11.8	92	1.389	0
2000	278	4	700	0	12.1	95	1.389	0
2000	278	4	800	122.66	12.9	95	1.111	0
2000	278	4	900	318.92	14.1	90	0.833	0
2000	278	4	1000	539.71	15.6	84	1.111	0
2000	278	4	1100	441.58	16	72	0.556	0
2000	278	4	1200	282.12	16	73	0.278	0
2000	278	4	1300	208.52	15.5	72	0.556	0
2000	278	4	1400	159.46	15.4	75	0.556	0
2000	278	4	1500	122.66	14.9	82	0.556	0
2000	278	4	1600	134.93	14.5	84	0.556	0
2000	278	4	1700	36.8	13.8	89	1.111	0
2000	278	4	1800	0	13.5	93	1.389	0
2000	278	4	1900	0	13.3	95	0.833	0
2000	278	4	2000	0	13.1	96	0.833	0
2000	278	4	2100	0	13.1	97	0.833	0
2000	278	4	2200	0	12.9	97	0.556	0
2000	278	4	2300	0	13.2	98	0.556	0
2000	278	4	2400	0	13.3	98	0	0
2000	279	5	100	0	13.2	98	0.278	0
2000	279	5	200	0	13.5	98	0.556	0
2000	279	5	300	0	13.5	98	0.278	0.2
2000	279	5	400	0	13.1	98	0.833	1.6
2000	279	5	500	0	12.4	98	1.389	0
2000	279	5	600	0	12	97	1.111	0
2000	279	5	700	24.53	12.1	95	0.833	0
2000	279	5	800	196.26	13.3	92	2.222	0
2000	279	5	900	613.31	14.8	80	2.222	0
2000	279	5	1000	858.63	15.2	64	2.5	0
2000	279	5	1100	1103.96	16.1	55	3.611	0
2000	279	5	1200	1263.42	16.1	55	3.889	0
2000	279	5	1300	588.78	16	56	4.167	0
2000	279	5	1400	269.86	13.2	72	4.167	0
2000	279	5	1500	110.4	13	74	3.056	0
2000	279	5	1600	343.45	14.2	67	2.778	0
2000	279	5	1700	171.73	12.9	61	2.778	0
2000	279	5	1800	0	10.8	73	2.222	0
2000	279	5	1900	0	10.5	73	1.667	0
2000	279	5	2000	0	9.8	79	1.111	0
2000	279	5	2100	0	9.9	82	2.222	0
2000	279	5	2200	0	9.2	83	1.944	0
2000	279	5	2300	0	8	85	1.944	0
2000	279	5	2400	0	6.8	90	1.111	0
2000	280	6	100	0	7.1	93	1.111	0
2000	280	6	200	0	6	93	1.111	0
2000	280	6	300	0	5.9	95	0.833	0
2000	280	6	400	0	5.3	95	0.833	0
2000	280	6	500	0	5.1	96	1.111	0.2
2000	280	6	600	0	5.5	96	1.111	0
2000	280	6	700	73.6	6.2	96	1.389	0
2000	280	6	800	404.78	8.8	93	1.389	0
2000	280	6	900	723.7	11.4	84	1.944	0
2000	280	6	1000	1030.36	12.8	63	2.5	0
2000	280	6	1100	1091.69	12.7	60	2.778	0
2000	280	6	1200	1079.42	14	52	3.056	0
2000	280	6	1300	1103.96	15	48	2.778	0
2000	280	6	1400	956.76	15.3	44	2.5	0
2000	280	6	1500	515.18	13.8	50	2.222	0
2000	280	6	1600	392.52	13.3	54	2.5	0
2000	280	6	1700	183.99	12.2	56	2.222	0
2000	280	6	1800	12.27	9.8	67	1.111	0
2000	280	6	1900	0	8	75	0.556	0
2000	280	6	2000	0	7.4	79	0.833	0
2000	280	6	2100	0	7.7	82	0.556	0
2000	280	6	2200	0	7.2	84	0.556	0
2000	280	6	2300	0	7.7	85	0.556	0
2000	280	6	2400	0	8	85	1.389	0
2000	281	7	100	0	7.7	90	1.667	1
2000	281	7	200	0	7.8	92	1.389	0.2
2000	281	7	300	0	7.6	94	0	0
2000	281	7	400	0	7.4	95	1.111	0
2000	281	7	500	0	7.5	96	1.389	0
2000	281	7	600	0	7.4	95	1.111	0
2000	281	7	700	24.53	7.8	95	1.111	0
2000	281	7	800	85.86	8.3	95	1.111	0
2000	281	7	900	171.73	8.9	92	0.278	0
2000	281	7	1000	196.26	9.2	88	1.389	0.2
2000	281	7	1100	306.65	9.7	86	1.389	0.2
2000	281	7	1200	478.38	10.4	84	1.389	0
2000	281	7	1300	343.45	10.3	82	2.5	0.2
2000	281	7	1400	306.65	10.8	82	2.5	0
2000	281	7	1500	282.12	10.9	83	2.778	0
2000	281	7	1600	61.33	11	84	2.5	0
2000	281	7	1700	24.53	11.2	83	2.5	0
2000	281	7	1800	0	11	84	2.5	0.2
2000	281	7	1900	0	11.3	81	3.056	0
2000	281	7	2000	0	11.5	80	3.333	0
2000	281	7	2100	0	11.4	84	3.333	0
2000	281	7	2200	0	11.3	87	2.778	0
2000	281	7	2300	0	11.5	87	2.778	0
2000	281	7	2400	0	11.3	87	3.056	0
2000	282	8	100	0	11.4	88	2.778	0
2000	282	8	200	0	11	91	2.5	0.2
2000	282	8	300	0	11	94	1.667	0.2
2000	282	8	400	0	11	94	1.944	0.2
2000	282	8	500	0	11	95	1.667	0.4
2000	282	8	600	0	11.1	95	1.944	0
2000	282	8	700	0	11.4	95	2.778	0
2000	282	8	800	73.6	11.7	95	3.333	1
2000	282	8	900	147.19	12	95	3.611	1.2
2000	282	8	1000	147.19	12.1	94	4.167	0.2
2000	282	8	1100	159.46	12.4	95	3.333	0.8
2000	282	8	1200	159.46	11.9	94	3.333	0.8
2000	282	8	1300	441.58	13.5	86	2.222	0
2000	282	8	1400	380.25	13.7	85	2.222	0
2000	282	8	1500	294.39	14.4	85	2.222	0
2000	282	8	1600	515.18	14.9	80	1.944	0
2000	282	8	1700	85.86	11.4	82	2.222	0.4
2000	282	8	1800	0	10.6	91	2.222	1.4
2000	282	8	1900	0	9.9	92	1.389	0
2000	282	8	2000	0	9.1	94	1.111	0
2000	282	8	2100	0	9.1	95	2.222	0
2000	282	8	2200	0	8.2	95	1.944	0
2000	282	8	2300	0	8	95	2.5	0
2000	282	8	2400	0	9	96	2.222	0
2000	283	9	100	0	8.8	92	3.333	0
2000	283	9	200	0	8.1	92	3.056	0
